Site,Date,Weather,Temperature,Time,Treatment,Plant,Position,Plant_Species,Height(meters),0(percent herbivory),less10(percent herbivory),10to50(percent herbivory),>greater50(percent herbivory),100(percent herbivory),herb_leaves,total_leaves,Stress,Total_Herbivory,Herbivory_not_including_100,Herbiv.AT,Plot_Classification
3SS,1-Jun,cloudy,61,10:36,CapBacCelIgu,4,Inside,CelIgu,1.1,10,2,3,4,0,9,19,No,0.215789474,0.215789474,0.215789474,Hetero.diff
3SS,1-Jun,cloudy,61,10:36,CapBacCelIgu,4,Inside,CelIgu,1.1,15,1,11,5,15,17,47,No,0.471276596,0.2234375,0.2234375,Hetero.diff
3SS,1-Jun,partly cloudy,71,14:30,CasDecCelIgu,3,Outside,CelIgu,0.5,0,0,0,0,5,0,5,Yes,1,0,0,Hetero.diff
3SS,1-Jun,partly cloudy,71,14:30,CasDecCelIgu,3,Outside,CelIgu,0.5,22,4,1,0,2,5,29,Yes,0.093103448,0.025925926,0.025925926,Hetero.diff
3SS,1-Jun,partly cloudy,71,14:30,CasDecCelIgu,3,Outside,CelIgu,0.5,6,0,0,0,0,0,6,Yes,0,0,0,Hetero.diff
3SS,1-Jun,partly cloudy,71,14:30,CasDecCelIgu,4,Inside,CelIgu,0.5,3,1,3,0,0,4,7,No,0.142857143,0.142857143,0.142857143,Hetero.diff
3SS,1-Jun,partly cloudy,71,14:30,CasDecCelIgu,4,Inside,CelIgu,0.5,2,0,5,0,2,5,9,No,0.388888889,0.214285714,0.214285714,Hetero.diff
3SS,1-Jun,partly cloudy,71,14:30,CasDecCelIgu,4,Inside,CelIgu,0.5,4,3,5,1,1,9,14,No,0.253571429,0.196153846,0.196153846,Hetero.diff
3SS,1-Jun,partly cloudy,71,15:30,CelIguTreMic,3,Outside,CelIgu,0.6,6,3,0,0,3,3,12,No,0.275,0.033333333,0.033333333,Hetero.same
3SS,1-Jun,partly cloudy,71,15:30,CelIguTreMic,3,Outside,CelIgu,0.6,2,1,4,1,1,6,9,No,0.338888889,0.25625,0.25625,Hetero.same
3SS,1-Jun,partly cloudy,71,15:30,CelIguTreMic,3,Outside,CelIgu,0.6,0,2,7,0,2,9,11,No,0.390909091,0.255555556,0.255555556,Hetero.same
3SS,1-Jun,partly cloudy,71,15:30,CelIguTreMic,4,Inside,CelIgu,0.4,2,4,1,0,2,5,9,No,0.3,0.1,0.1,Hetero.same
3SS,1-Jun,partly cloudy,71,15:30,CelIguTreMic,4,Inside,CelIgu,0.4,1,9,6,0,2,15,18,No,0.261111111,0.16875,0.16875,Hetero.same
3SS,1-Jun,partly cloudy,71,15:30,CelIguTreMic,4,Inside,CelIgu,0.4,3,1,0,0,1,1,5,No,0.22,0.025,0.025,Hetero.same
3SS,1-Jun,sunny,71,15:45,CasSylCelIgu,3,Outside,CelIgu,0.5,0,0,0,0,8,0,8,No,1,0,0,Hetero.diff
3SS,1-Jun,sunny,71,15:45,CasSylCelIgu,3,Outside,CelIgu,0.5,3,1,3,0,0,4,7,No,0.142857143,0.142857143,0.142857143,Hetero.diff
3SS,1-Jun,sunny,71,15:45,CasSylCelIgu,3,Outside,CelIgu,0.5,0,0,1,0,8,1,9,No,0.922222222,0.3,0.3,Hetero.diff
3SS,1-Jun,sunny,71,15:45,CasSylCelIgu,4,Inside,CelIgu,0.5,11,2,0,3,5,5,21,No,0.354761905,0.153125,0.153125,Hetero.diff
3SS,1-Jun,sunny,71,15:45,CasSylCelIgu,4,Inside,CelIgu,0.5,0,0,0,0,7,0,7,No,1,0,0,Hetero.diff
3SS,1-Jun,sunny,71,15:45,CasSylCelIgu,4,Inside,CelIgu,0.5,0,6,1,3,11,10,21,No,0.673809524,0.315,0.315,Hetero.diff
3SS,5-Jun,sunny,66,10:16,All,5,Outside,CelIgu,0.5,1,4,4,1,4,9,14,No,0.453571429,0.235,0.235,Hetero.All
3SS,5-Jun,sunny,66,10:16,All,5,Outside,CelIgu,0.5,2,1,3,0,0,4,6,No,0.166666667,0.166666667,0.166666667,Hetero.All
3SS,5-Jun,sunny,66,10:16,All,5,Outside,CelIgu,0.5,4,0,3,0,0,3,7,No,0.128571429,0.128571429,0.128571429,Hetero.All
3SS,5-Jun,sunny,66,10:16,All,10,Outside,CelIgu,0.5,2,2,3,0,10,5,17,No,0.652941176,0.157142857,0.157142857,Hetero.All
3SS,5-Jun,sunny,66,10:16,All,10,Outside,CelIgu,0.5,0,0,0,0,0,0,0,No,0,0,0,Hetero.All
3SS,5-Jun,sunny,66,10:16,All,10,Outside,CelIgu,0.5,0,0,0,0,0,0,0,No,0,0,0,Hetero.All
6PF2,2-Jun,cloudy,56,8:23,CasDecCelIgu,3,Outside,CelIgu,0.6,16,1,0,0,0,1,17,No,0.005882353,0.005882353,0.005882353,Hetero.diff
6PF2,2-Jun,cloudy,56,8:23,CasDecCelIgu,3,Outside,CelIgu,0.6,5,1,0,0,0,1,6,No,0.016666667,0.016666667,0.016666667,Hetero.diff
6PF2,2-Jun,cloudy,56,8:23,CasDecCelIgu,3,Outside,CelIgu,0.6,18,2,1,0,0,3,21,No,0.023809524,0.023809524,0.023809524,Hetero.diff
6PF2,2-Jun,cloudy,56,8:23,CasDecCelIgu,4,Inside,CelIgu,1.2,8,4,5,1,0,10,18,No,0.147222222,0.147222222,0.147222222,Hetero.diff
6PF2,2-Jun,cloudy,56,8:23,CasDecCelIgu,4,Inside,CelIgu,1.2,7,7,8,6,0,21,28,No,0.271428571,0.271428571,0.271428571,Hetero.diff
6PF2,2-Jun,cloudy,56,8:23,CasDecCelIgu,4,Inside,CelIgu,1.2,8,1,2,1,0,4,12,No,0.120833333,0.120833333,0.120833333,Hetero.diff
6PF2,2-Jun,cloudy,58,9:30,CelIgu,1,Outside,CelIgu,0.4,1,3,0,0,10,3,14,No,0.735714286,0.075,0.075,Intra
6PF2,2-Jun,cloudy,58,9:30,CelIgu,1,Outside,CelIgu,0.4,3,2,4,0,0,6,9,No,0.155555556,0.155555556,0.155555556,Intra
6PF2,2-Jun,cloudy,58,9:30,CelIgu,1,Outside,CelIgu,0.4,6,2,2,1,4,5,15,No,0.37,0.140909091,0.140909091,Intra
6PF2,2-Jun,cloudy,58,9:30,CelIgu,2,Inside,CelIgu,0.5,0,0,2,3,16,5,21,No,0.897619048,0.57,0.57,Intra
6PF2,2-Jun,cloudy,58,9:30,CelIgu,2,Inside,CelIgu,0.5,3,2,3,1,5,6,14,No,0.489285714,0.205555556,0.205555556,Intra
6PF2,2-Jun,cloudy,58,9:30,CelIgu,2,Inside,CelIgu,0.5,2,3,2,0,6,5,13,No,0.530769231,0.128571429,0.128571429,Intra
6PF2,2-Jun,cloudy,58,9:30,CelIgu,3,Inside,CelIgu,0.3,5,1,3,0,0,4,9,No,0.111111111,0.111111111,0.111111111,Intra
6PF2,2-Jun,cloudy,58,9:30,CelIgu,3,Inside,CelIgu,0.3,3,0,3,1,3,4,10,No,0.465,0.235714286,0.235714286,Intra
6PF2,2-Jun,cloudy,58,9:30,CelIgu,3,Inside,CelIgu,0.3,1,0,3,2,2,5,8,No,0.55,0.4,0.4,Intra
6PF2,2-Jun,cloudy,58,9:30,CelIgu,4,Inside,CelIgu,0.3,0,4,4,1,5,9,14,No,0.525,0.261111111,0.261111111,Intra
6PF2,2-Jun,cloudy,58,9:30,CelIgu,4,Inside,CelIgu,0.3,1,0,3,1,4,4,9,No,0.627777778,0.33,0.33,Intra
6PF2,2-Jun,cloudy,58,9:30,CelIgu,4,Inside,CelIgu,0.3,2,2,2,1,1,5,8,No,0.31875,0.221428571,0.221428571,Intra
6PF2,2-Jun,cloudy,58,10:05,All,5,Outside,CelIgu,1.1,3,0,0,0,16,0,19,No,0.842105263,0,0,Hetero.All
6PF2,2-Jun,cloudy,58,10:05,All,5,Outside,CelIgu,1.1,9,0,0,0,0,0,9,No,0,0,0,Hetero.All
6PF2,2-Jun,cloudy,58,10:05,All,5,Outside,CelIgu,1.1,0,0,0,0,11,0,11,No,1,0,0,Hetero.All
6PF2,2-Jun,cloudy,58,10:05,All,6,Outside,CelIgu,0.6,5,2,1,0,0,3,8,No,0.0625,0.0625,0.0625,Hetero.All
6PF2,2-Jun,cloudy,58,10:05,All,6,Outside,CelIgu,0.6,11,1,0,1,0,2,13,No,0.065384615,0.065384615,0.065384615,Hetero.All
6PF2,2-Jun,cloudy,58,10:05,All,6,Outside,CelIgu,0.6,4,3,1,2,2,6,12,No,0.341666667,0.21,0.21,Hetero.All
6PF2,2-Jun,cloudy,66,10:55,CasSylCelIgu,1,Outside,CelIgu,0.8,2,1,1,4,1,6,9,No,0.488888889,0.425,0.425,Hetero.diff
6PF2,2-Jun,cloudy,66,10:55,CasSylCelIgu,1,Outside,CelIgu,0.8,0,1,1,5,0,7,7,No,0.592857143,0.592857143,0.592857143,Hetero.diff
6PF2,2-Jun,cloudy,66,10:55,CasSylCelIgu,1,Outside,CelIgu,0.8,1,3,0,3,1,6,8,No,0.44375,0.364285714,0.364285714,Hetero.diff
6PF2,2-Jun,cloudy,66,10:55,CasSylCelIgu,2,Inside,CelIgu,0.8,3,1,1,0,2,2,7,No,0.342857143,0.08,0.08,Hetero.diff
6PF2,2-Jun,cloudy,66,10:55,CasSylCelIgu,2,Inside,CelIgu,0.8,5,1,1,0,0,2,7,No,0.057142857,0.057142857,0.057142857,Hetero.diff
