Site,Treatment,N Rows,totalB,richB,div_hB,Treat2,abundS,richS,div_hS,richP,abundP,div_hP,plantnum,bird.rich.percap,Acnistus_arborescens,Capsicum_baccatum,Casearia_sylvestris,Trema_micrantha,total.pulp.mass.avg.,Grass,phylo_rank,spp_rich_treat,total.visits_selected,rich_selected,div_H_selected,bird_degree,visits.x.degree,bird_degree 2,visits.x.degree 2,PD
03SS,CapBac&CelIgu,9,13,9,2.1383972463477,Hetero.diff,105,7,1.3170057888969,5,31,1.1867052535273,12,0.75,,535.66666667,,,74.8862,20,3,2,13,9,2.1383972463,14.0,18,126,162,0.265064061
03SS,CapBac&TreMic,15,25,13,2.4770728313353,Hetero.diff,27,4,1.0085407972782,7,18,1.5810937501718,12,1.0833333333,,257.27272727,,457.85714286,45.73434632,10,3,2,22,12,2.3978952728,18.9,25.533333333,283,383,0.2643121
03SS,CasDec,2,2,2,0.6931471805599,Intra,67,4,0.2882182593345,2,2,0.6931471805599,24,0.0833333333,,,,,0,65,1,1,1,1,0,9.5,9.5,19,19,0
03SS,CasDec&CasSyl,4,4,4,1.3862943611199,Hetero.same,9,1,0,4,5,1.3321790402101,12,0.3333333333,,,213.33333333,,3.968,40,2,2,2,2,0.6931471806,4.5,4.5,18,18,0.141899453
03SS,CasDec&CelIgu,120,0,0,0,Hetero.diff,0,0,0,1,1,0,12,0,,,,,0,60,3,2,0,0,0,0.0,0,0,0,0.244484426
03SS,CasDec&TreMic,14,28,13,2.4254395062628,Hetero.diff,22,7,1.6540336487579,6,10,1.6094379124341,12,1.0833333333,,,,458.23529412,9.7756862745,10,3,2,23,11,2.235177308,20.6,24.785714286,288,347,0.243732464
03SS,CasSyl,4,6,4,1.3296613488548,Intra,69,2,0.3872123751864,0,0,0,24,0.1666666667,,,300,,5.58,70,1,1,5,3,1.054920168,16.5,25,66,100,0
03SS,CasSyl&CelIgu,2,2,2,0.6931471805599,Hetero.diff,56,2,0.6873963521504,0,0,0,12,0.1666666667,,,100,,1.86,10,3,2,2,2,0.6931471806,5.0,5,10,10,0.241498092
03SS,CasSyl&TreMic,11,24,11,2.311619854648,Hetero.diff,161,14,1.74913102012,5,12,1.3579778549873,12,0.9166666667,,,80,714.66666667,16.734222222,5,3,2,22,10,2.2088551326,22.3,28.727272727,245,316,0.24074613
03SS,CelIgu,2,2,2,0.6931471805599,Intra,160,1,0,0,0,0,24,0.0833333333,,,,,0,50,1,1,1,1,0,11.0,11,22,22,0
03SS,CelIgu&TreMic,16,65,14,2.3931822362293,Hetero.same,137,8,1.1153826680309,7,18,1.7249347863977,12,1.1666666667,,,,456,9.728,20,2,2,62,13,2.3129006702,19.1,31.3125,305,501,0.166769626
03SS,Control,2,3,2,0.6365141682948,Control,135,6,0.8870574573754,3,5,1.0549201679861,0,,,,,,,,0,0,3,2,0.6365141683,22.0,22,44,44,
03SS,TreMic,16,31,16,2.5871334520044,Intra,337,9,0.5128584025168,2,2,0.6931471805599,24,0.6666666667,,,,583.88888889,12.456296296,20,1,1,24,13,2.3588541389,20.0,20.125,320,322,0
04AJ,AcnArb,12,32,12,2.3336389196969,Intra,65,9,1.4610854627957,2,3,0.6365141682948,24,0.5,326.42857143,,,,99.832738095,90,1,1,24,9,2.0151647765,17.8,17.833333333,213,214,0
04AJ,AcnArb&CapBac,11,35,11,2.137687623477,Hetero.same,51,7,1.6008154958083,4,9,1.0027182645175,12,0.9166666667,351.42857143,253.33333333,,,142.89457143,100,2,2,21,7,1.8442381501,16.1,24.727272727,177,272,0.143088167
04AJ,AcnArb&CasDec,10,17,10,2.1500602244842,Hetero.diff,71,6,0.6429094522314,1,1,0,12,0.8333333333,297.5,,,,90.985416667,90,3,2,11,7,1.8462202193,17.5,21.8,175,218,0.260444172
04AJ,AcnArb&CasSyl,5,17,5,1.3130105920403,Hetero.diff,67,6,1.2009489551584,1,1,0,12,0.4166666667,220,,,,67.283333333,70,3,2,8,4,1.3208883431,24.2,32.6,121,163,0.257457838
