Site,Treatment,Treat2,Plot,plant_sp,N Rows,Grass,Height.avg,Diameter,Fruit.number,Fruit.per.ind,Visits,Visits.per.ind,n.seeds_avg,sum.seeds,seeds.per.ind,Div_treat,logHeight,LogDiam,root_grass,log_fruit_percapita
02JM2,CapBac&CelIgu,Hetero.diff,5,Capsicum_baccatum,4,15,124,39.205,420,35,6,0.5,76.83333333,1383,115.25,2,4.828313737,3.693991366,3.872983346,3.583518938
02JM2,CapBac&CelIgu,Hetero.diff,5,Celtis_iguanaea,4,15,163.6666667,31.2075,20,1.666666667,0,0,0,0,0,2,5.103923229,3.472199345,3.872983346,0.980829253
02JM2,CapBac&TreMic,Hetero.diff,3,Capsicum_baccatum,4,5,125.3333333,27.86,285.7333333,23.81111111,0,0,22.23529412,378,31.5,2,4.838923916,3.362456553,2.236067977,3.211291582
02JM2,CapBac&TreMic,Hetero.diff,3,Trema_micrantha,4,5,322,67.81,444.1666667,37.01388889,13,1.083333333,25.64285714,359,29.91666667,2,5.777652323,4.231349083,2.236067977,3.63795159
02JM2,CasDec&CasSyl,Hetero.same,14,Casearia_sylvestris,4,40,145.3333333,61.315,500,41.66666667,1,0.083333333,15.92857143,223,18.58333333,2,4.985887124,4.132202167,6.32455532,3.753417975
02JM2,CasDec&CelIgu,Hetero.diff,12,Celtis_iguanaea,4,30,234.6666667,54.2525,50,4.166666667,1,0.083333333,1,2,0.166666667,2,5.462418377,4.011913588,5.477225575,1.642227735
02JM2,CasDec&TreMic,Hetero.diff,15,Trema_micrantha,4,3,409.6666667,61.8975,352,29.33333333,9,0.75,17.8125,285,23.75,2,6.017781856,4.141506417,1.732050808,3.412247218
02JM2,CasSyl,Intra,16,Casearia_sylvestris,4,15,167,51.3525,900,37.5,2,0.083333333,9.533333333,143,5.958333333,1,5.123963979,3.957999692,3.872983346,3.650658241
02JM2,CasSyl&CelIgu,Hetero.diff,4,Casearia_sylvestris,4,10,129,32.7575,188,15.66666667,0,0,17.14285714,240,20,2,4.86753445,3.519202615,3.16227766,2.813410717
02JM2,CasSyl&CelIgu,Hetero.diff,4,Celtis_iguanaea,4,10,225,47.8125,40,3.333333333,0,0,0,0,0,2,5.420534999,3.887986428,3.16227766,1.466337069
02JM2,CasSyl&TreMic,Hetero.diff,20,Casearia_sylvestris,4,1,84,24.4925,200,16.66666667,0,0,18,18,1.5,2,4.442651256,3.238384291,1,2.871679625
02JM2,CasSyl&TreMic,Hetero.diff,20,Trema_micrantha,4,1,391.3333333,73.2425,516.4285714,43.03571429,9,0.75,26.29411765,447,37.25,2,5.972111819,4.307336762,1,3.785000993
02JM2,CelIgu,Intra,11,Celtis_iguanaea,4,30,245.6666667,43.9225,80,3.333333333,0,0,2,24,1,1,5.508037898,3.804938783,5.477225575,1.466337069
02JM2,CelIgu&TreMic,Hetero.same,21,Celtis_iguanaea,4,10,188.3333333,19.5975,0,0,0,0,0,0,0,2,5.24350913,3.025169709,3.16227766,0
02JM2,CelIgu&TreMic,Hetero.same,21,Trema_micrantha,4,10,326.6666667,72.97,411.6666667,34.30555556,9,0.75,46.85,937,78.08333333,2,5.791996832,4.303659606,3.16227766,3.564040333
02JM2,TreMic,Intra,9,Trema_micrantha,8,10,351.3333333,36.00375,380.5555556,15.85648148,20,0.833333333,18.36842105,349,14.54166667,1,5.864577697,3.611019259,3.16227766,2.82473524
03SS,AcnArb,Intra,1,Acnistus_arborescens,4,31,242,109.8475,381.25,15.88541667,6,0.25,6.538461538,85,3.541666667,1,5.493061443,4.708155383,5.567764363,2.82645033
03SS,AcnArb&CapBac,Hetero.same,19,Acnistus_arborescens,4,40,251,72.1275,140,11.66666667,1,0.083333333,10.7,107,8.916666667,2,5.529429088,4.292204493,6.32455532,2.538973871
03SS,AcnArb&CapBac,Hetero.same,19,Capsicum_baccatum,4,40,124.3333333,47.5825,412.2222222,34.35185185,2,0.166666667,22.875,183,15.25,2,4.830976854,3.883263384,6.32455532,3.565350777
03SS,AcnArb&CasDec,Hetero.diff,14,Acnistus_arborescens,4,40,243.3333333,105.325,260.4166667,21.70138889,8,0.666666667,15.5,186,15.5,2,5.498533413,4.666500441,6.32455532,3.122426107
03SS,AcnArb&CasSyl,Hetero.diff,15,Acnistus_arborescens,4,50,288.6666667,132.5775,353.75,29.47916667,8,0.666666667,1.777777778,16,1.333333333,2,5.668730837,4.894681834,7.071067812,3.41704339
03SS,AcnArb&CasSyl,Hetero.diff,15,Casearia_sylvestris,4,50,127,40.64,300,25,0,0,6,18,1.5,2,4.852030264,3.729061244,7.071067812,3.258096538
03SS,AcnArb&CelIgu,Hetero.diff,8,Acnistus_arborescens,4,20,220.6666667,117.4625,258.75,21.5625,3,0.25,15.90909091,175,14.58333333,2,5.401174752,4.774596455,4.472135955,3.116289236
03SS,AcnArb&CelIgu,Hetero.diff,8,Celtis_iguanaea,4,20,146.3333333,46.3725,0,0,0,0,0,0,0,2,4.992697593,3.858041892,4.472135955,0
