Site,Treatment,Treat2,Plot,plant_sp,N Rows,Grass,Height.avg,Diameter,Fruit.number,Fruit.per.ind,Visits,Visits.per.ind,n.seeds_avg,sum.seeds,seeds.per.ind,Div_treat,logHeight,LogDiam,root_grass,log_fruit_percapita,het_treat
03SS,CasSyl&CelIgu,Hetero.diff,17,Casearia_sylvestris,200,10,129.66667,38.66,100,8.3333333333333,0,0,3.25,26,2.1666666666667,2,4.8726495514,3.6803431231,3.1622776602,2.2335922215,3
03SS,CasSyl&CelIgu,Hetero.diff,17,Celtis_iguanaea,200,10,78,24.8375,0,0,0,0,30,30,2.5,2,4.3694478525,3.251826925,3.1622776602,0,3
03SS,CasSyl&TreMic,Hetero.diff,23,Casearia_sylvestris,200,5,137.33333,50.8,80,6.6666666666667,0,0,0,0,0,2,4.9296662313,3.9473901493,2.2360679775,2.0368819273,3
03SS,CasSyl&TreMic,Hetero.diff,23,Trema_micrantha,200,5,314.33333,65.15,714.66666666667,59.555555555556,10,0.8333333333333,10,180,15,2,5.7536302803,4.1919248906,2.2360679775,4.1035612173,3
03SS,CelIgu,Intra,5,Celtis_iguanaea,50,50,222.66667,47.0925,100,4.1666666666667,0,0,16,160,6.6666666666667,1,5.4101568485,3.8731262398,7.0710678119,1.6422277353,1
03SS,CelIgu&TreMic,Hetero.same,16,Celtis_iguanaea,50,20,92.333333,6.2025,0,0,0,0,0,0,0,2,4.5361773145,1.974428188,4.472135955,0,2
03SS,CelIgu&TreMic,Hetero.same,16,Trema_micrantha,50,20,288.66667,64.68,456,38,14,1.1666666666667,10.058823529412,171,14.25,2,5.6687308367,4.1847944651,4.472135955,3.6635616461,2
03SS,TreMic,Intra,11,Trema_micrantha,50,20,275.33333,47.305,583.88888888889,24.328703703704,14,0.5833333333333,31.588235294118,537,22.375,1,5.6216078663,3.877535075,4.472135955,3.2319382864,1
04AJ,AcnArb,Intra,8,Acnistus_arborescens,50,90,241.66667,73.185,326.42857142857,13.601190476191,8,0.3333333333333,7,77,3.2083333333333,1,5.4916887597,4.3065619734,9.4868329805,2.6811030649,1
04AJ,AcnArb&CapBac,Hetero.same,1,Acnistus_arborescens,50,100,292.66667,102.99,351.42857142857,29.285714285714,9,0.75,8.5,34,2.8333333333333,2,5.6824453374,4.6442947407,10,3.4106761256,2
04AJ,AcnArb&CapBac,Hetero.same,1,Capsicum_baccatum,50,100,112.33333,29.885,253.33333333333,21.111111111111,6,0.5,8.4,84,7,2,4.7303333286,3.4302706291,10,3.0960802474,2
04AJ,AcnArb&CasDec,Hetero.diff,6,Acnistus_arborescens,200,90,214.33333,70.0375,297.5,24.791666666667,6,0.5,5.9166666666667,71,5.9166666666667,2,5.372187215,4.2632079066,9.4868329805,3.2500514423,3
04AJ,AcnArb&CasSyl,Hetero.diff,14,Acnistus_arborescens,200,70,245,82.6,220,18.333333333333,10,0.8333333333333,12.2,122,10.166666666667,2,5.5053315359,4.4260435201,8.3666002653,2.9618307219,3
04AJ,AcnArb&CasSyl,Hetero.diff,14,Casearia_sylvestris,200,70,123,22.5425,0,0,0,0,0,0,0,2,4.8202815656,3.1588072984,8.3666002653,0,3
04AJ,AcnArb&CelIgu,Hetero.diff,21,Acnistus_arborescens,200,100,236.33333,46.855,218.57142857143,18.214285714286,5,0.4166666666667,14.888888888889,134,11.166666666667,2,5.4694656226,3.8681756056,10,2.95565405,3
04AJ,AcnArb&CelIgu,Hetero.diff,21,Celtis_iguanaea,200,100,94.666667,9.1475,0,0,0,0,0,0,0,2,4.5608699271,2.3172273697,10,0,3
04AJ,AcnArb&TreMic,Hetero.diff,12,Acnistus_arborescens,200,80,289.33333,84.88,265.2,22.1,5,0.4166666666667,7.8,39,3.25,2,5.6710296881,4.452950973,8.94427191,3.1398326175,3
04AJ,AcnArb&TreMic,Hetero.diff,12,Trema_micrantha,200,80,376.66667,30.99,212.5,17.708333333333,6,0.5,11.25,45,3.75,2,5.9340119724,3.465423354,8.94427191,2.9289690574,3
04AJ,All,Hetero.All,19,Acnistus_arborescens,50,70,215.33333,101.2875,174.28571428571,43.571428571429,9,2.25,14.375,115,28.75,6,5.3768204279,4.6277874759,8.3666002653,3.7970930388,6
04AJ,All,Hetero.All,19,Capsicum_baccatum,50,70,119.66667,43.4,211.11111111111,52.777777777778,2,0.5,9.5,38,9.5,6,4.7930319234,3.7932394694,8.3666002653,3.9848603294,6
04AJ,All,Hetero.All,19,Casearia_sylvestris,50,70,112.33333,21.8675,0,0,0,0,0,0,0,6,4.7303333286,3.1297166885,8.3666002653,0,6
04AJ,All,Hetero.All,19,Celtis_iguanaea,50,70,117.33333,13.57,0,0,0,0,0,0,0,6,4.7735055005,2.6789646202,8.3666002653,0,6
04AJ,All,Hetero.All,19,Trema_micrantha,50,70,362,29.175,265.45454545455,66.363636363636,7,1.75,16.5,66,16.5,6,5.8944028343,3.407013767,8.3666002653,4.2101053525,6
04AJ,CapBac,Intra,22,Capsicum_baccatum,50,65,160.66667,44.835,912,38,1,0.0416666666667,45,450,18.75,1,5.0855366025,3.8250479914,8.0622577483,3.6635616461,1
04AJ,CapBac&CasDec,Hetero.diff,23,Capsicum_baccatum,200,80,134,40.0675,459.0625,38.255208333333,4,0.3333333333333,37.272727272727,410,34.166666666667,2,4.9052747784,3.7152170544,8.94427191,3.6700841318,3
04AJ,CapBac&CasSyl,Hetero.diff,3,Capsicum_baccatum,200,85,133.66667,49.12,277,23.083333333333,2,0.1666666666667,10.444444444444,94,7.8333333333333,2,4.9028025895,3.91442013,9.2195444573,3.1815200383,3
04AJ,CapBac&CasSyl,Hetero.diff,3,Casearia_sylvestris,200,85,136.33333,36.395,200,16.666666666667,1,0.0833333333333,0,0,0,2,4.9224110604,3.6215370056,9.2195444573,2.8716796249,3
04AJ,CapBac&CelIgu,Hetero.diff,13,Capsicum_baccatum,200,90,122,0,501.66666666667,41.805555555556,0,0,17.1,171,14.25,2,4.8121843554,0,9.4868329805,3.7566678969,3
04AJ,CapBac&CelIgu,Hetero.diff,13,Celtis_iguanaea,200,90,79.666667,19.1775,0,0,0,0,0,0,0,2,4.3903254375,3.0045681222,9.4868329805,0,3
04AJ,CapBac&TreMic,Hetero.diff,4,Capsicum_baccatum,200,80,162.33333,23.76,385.55555555556,32.12962962963,5,0.4166666666667,21.142857142857,148,12.333333333333,2,5.0957931022,3.2092294478,8.94427191,3.5004280369,3
04AJ,CapBac&TreMic,Hetero.diff,4,Trema_micrantha,200,80,264.33333,31.4025,697.5,58.125,7,0.5833333333333,16.25,65,5.4166666666667,2,5.5809868971,3.4782355803,8.94427191,4.0796538468,3
04AJ,CasDec&CasSyl,Hetero.same,16,Casearia_sylvestris,50,90,128.66667,30.4725,0,0,3,0.25,8.2857142857143,58,4.8333333333333,2,4.8649670552,3.4491141487,9.4868329805,0,2
