Site,Treatment,Plant Species,phylo_dist,Label,Data
2JM2,AcnArbCelIgu,AcnArb,247.5,predator,0
2JM2,AcnArbTreMic,AcnArb,247.5,ant,1
2JM2,AcnArbTreMic,AcnArb,247.5,herbivore,0
2JM2,AcnArbTreMic,AcnArb,247.5,phloem_feeder,3
2JM2,AcnArbTreMic,AcnArb,247.5,pollinator,0
2JM2,AcnArbTreMic,AcnArb,247.5,predator,0
2JM2,AcnArbTreMic,TreMic,247.5,ant,0
2JM2,AcnArbTreMic,TreMic,247.5,herbivore,0
2JM2,AcnArbTreMic,TreMic,247.5,phloem_feeder,0
2JM2,AcnArbTreMic,TreMic,247.5,pollinator,1
2JM2,AcnArbTreMic,TreMic,247.5,predator,0
2JM2,All,AcnArb,460.6,ant,0
2JM2,All,AcnArb,460.6,herbivore,0
2JM2,All,AcnArb,460.6,phloem_feeder,1
2JM2,All,AcnArb,460.6,pollinator,0
2JM2,All,AcnArb,460.6,predator,0
2JM2,All,CapBac,460.6,ant,1
2JM2,All,CapBac,460.6,herbivore,1
2JM2,All,CapBac,460.6,phloem_feeder,1
2JM2,All,CapBac,460.6,pollinator,0
2JM2,All,CapBac,460.6,predator,0
2JM2,All,CasDec,460.6,ant,0
2JM2,All,CasDec,460.6,herbivore,0
2JM2,All,CasDec,460.6,phloem_feeder,2
2JM2,All,CasDec,460.6,pollinator,0
2JM2,All,CasDec,460.6,predator,0
2JM2,All,CasSyl,460.6,ant,0
2JM2,All,CasSyl,460.6,herbivore,0
2JM2,All,CasSyl,460.6,phloem_feeder,1
2JM2,All,CasSyl,460.6,pollinator,0
2JM2,All,CasSyl,460.6,predator,0
2JM2,All,CelIgu,460.6,ant,0
2JM2,All,CelIgu,460.6,herbivore,2
2JM2,All,CelIgu,460.6,phloem_feeder,0
2JM2,All,CelIgu,460.6,pollinator,0
2JM2,All,CelIgu,460.6,predator,0
2JM2,CapBac,CapBac,0,ant,0
2JM2,CapBac,CapBac,0,herbivore,0
2JM2,CapBac,CapBac,0,phloem_feeder,2
2JM2,CapBac,CapBac,0,pollinator,0
2JM2,CapBac,CapBac,0,predator,0
2JM2,CapBacCasDec,CapBac,247.5,ant,0
2JM2,CapBacCasDec,CapBac,247.5,herbivore,1
2JM2,CapBacCasDec,CapBac,247.5,phloem_feeder,0
2JM2,CapBacCasDec,CapBac,247.5,pollinator,1
2JM2,CapBacCasDec,CapBac,247.5,predator,0
