site,Treatment,plant_sp,plant_id,Treat2,branching,avg.dbh.mm
04AJ,CapBac&TreMic,Trema_micrantha,TreMic87a,Hetero.diff,1,1890.173947
04AJ,CapBac&TreMic,Trema_micrantha,TreMic88a,Hetero.diff,1,1603.076839
04AJ,CasDec,Casearia_decandra,CasDec66p,Intra,1,189.570906
04AJ,CasDec,Casearia_decandra,CasDec67p,Intra,1,119.7301625
04AJ,CasDec,Casearia_decandra,CasDec68p,Intra,1,165.04625
04AJ,CasDec,Casearia_decandra,CasDec69p,Intra,1,80.713386
04AJ,CasDec&CasSyl,Casearia_decandra,CasDec28v,Hetero.same,1,84.579354
04AJ,CasDec&CasSyl,Casearia_decandra,CasDec29v,Hetero.same,1,101.1256625
04AJ,CasDec&CasSyl,Casearia_decandra,CasDec30v,Hetero.same,1,48.250496
04AJ,CasDec&CasSyl,Casearia_decandra,CasDec31v,Hetero.same,1,117.606816
04AJ,CasDec&CasSyl,Casearia_sylvestris,CasSyl38v,Hetero.same,2,91.71284525
04AJ,CasDec&CasSyl,Casearia_sylvestris,CasSyl39v,Hetero.same,2,268.4592063
04AJ,CasDec&CasSyl,Casearia_sylvestris,CasSyl40v,Hetero.same,2,205.69041
04AJ,CasDec&CasSyl,Casearia_sylvestris,CasSyl41v,Hetero.same,2,211.6058953
04AJ,CasDec&CelIgu,Casearia_decandra,CasDec80a,Hetero.diff,1,63.021056
04AJ,CasDec&CelIgu,Casearia_decandra,CasDec81a,Hetero.diff,1,159.627866
04AJ,CasDec&CelIgu,Casearia_decandra,CasDec82a,Hetero.diff,1,84.253736
04AJ,CasDec&CelIgu,Casearia_decandra,CasDec83a,Hetero.diff,1,100.947546
04AJ,CasDec&CelIgu,Casearia_decandra,CasDec84a,Hetero.diff,1,154.299914
04AJ,CasDec&CelIgu,Casearia_decandra,CasDec85a,Hetero.diff,1,309.9312665
04AJ,CasDec&CelIgu,Casearia_decandra,CasDec86a,Hetero.diff,1,221.8222385
04AJ,CasDec&CelIgu,Casearia_decandra,CasDec87a,Hetero.diff,1,200.2071065
04AJ,CasDec&CelIgu,Celtis_iguanaea,CelIgu77a,Hetero.diff,2,72.15394225
04AJ,CasDec&CelIgu,Celtis_iguanaea,CelIgu78a,Hetero.diff,2,133.9973413
04AJ,CasDec&CelIgu,Celtis_iguanaea,CelIgu79a,Hetero.diff,1,293.617946
04AJ,CasDec&CelIgu,Celtis_iguanaea,CelIgu80a,Hetero.diff,1,478.5329385
04AJ,CasDec&CelIgu,Trema_micrantha,TreMic89a,Hetero.diff,1,821.012346
04AJ,CasDec&CelIgu,Trema_micrantha,TreMic90a,Hetero.diff,1,1750.336794
04AJ,CasDec&CelIgu,Trema_micrantha,TreMic91a,Hetero.diff,1,470.8116785
04AJ,CasDec&CelIgu,Trema_micrantha,TreMic92a,Hetero.diff,3,825.1801203
04AJ,CasSyl,Casearia_sylvestris,CasSyl34v,Intra,1,231.694634
04AJ,CasSyl,Casearia_sylvestris,CasSyl35v,Intra,1,520.099866
04AJ,CasSyl,Casearia_sylvestris,CasSyl36v,Intra,3,110.378065
04AJ,CasSyl,Casearia_sylvestris,CasSyl37v,Intra,5,124.1232894
04AJ,CasSyl&CelIgu,Casearia_sylvestris,CasSyl80a,Hetero.diff,3,127.379909
04AJ,CasSyl&CelIgu,Casearia_sylvestris,CasSyl81a,Hetero.diff,1,2148.845184
04AJ,CasSyl&CelIgu,Casearia_sylvestris,CasSyl82a,Hetero.diff,2,262.8839793
04AJ,CasSyl&CelIgu,Casearia_sylvestris,CasSyl83a,Hetero.diff,2,110.2189063
04AJ,CasSyl&CelIgu,Celtis_iguanaea,CelIgu81a,Hetero.diff,2,162.6288425
04AJ,CasSyl&CelIgu,Celtis_iguanaea,CelIgu82a,Hetero.diff,1,220.7678265
04AJ,CasSyl&CelIgu,Celtis_iguanaea,CelIgu83a,Hetero.diff,1,142.642664
04AJ,CasSyl&CelIgu,Celtis_iguanaea,CelIgu84a,Hetero.diff,2,187.2470313
04AJ,CasSyl&TreMic,Casearia_sylvestris,CasSyl76a,Hetero.diff,2,254.911637
04AJ,CasSyl&TreMic,Casearia_sylvestris,CasSyl77a,Hetero.diff,3,121.1881953
04AJ,CasSyl&TreMic,Casearia_sylvestris,CasSyl78a,Hetero.diff,1,327.967976
04AJ,CasSyl&TreMic,Casearia_sylvestris,CasSyl79a,Hetero.diff,2,167.2742763
04AJ,CasSyl&TreMic,Trema_micrantha,TreMic81a,Hetero.diff,1,1105.673207
04AJ,CasSyl&TreMic,Trema_micrantha,TreMic82a,Hetero.diff,1,1435.979227
04AJ,CasSyl&TreMic,Trema_micrantha,TreMic83a,Hetero.diff,1,61.900704
04AJ,CasSyl&TreMic,Trema_micrantha,TreMic84a,Hetero.diff,1,1313.798059
04AJ,CelIgu,Celtis_iguanaea,CelIgu39v,Intra,1,68.0407385
04AJ,CelIgu,Celtis_iguanaea,CelIgu40v,Intra,1,792.3263265
04AJ,CelIgu,Celtis_iguanaea,CelIgu41v,Intra,1,7.0179785
04AJ,CelIgu,Celtis_iguanaea,CelIgu42v,Intra,1,149.929034
04AJ,CelIgu&TreMic,Celtis_iguanaea,CelIgu51p,Hetero.same,2,33.4900625
